DRAFT ORDER,NAME,OWNER
1,Sidney Crosby,Brian
2,Roberto Luongo ,Bryan
3,Steven Stamkos,Brandon
4,Claude Giroux,Nam
5,Ryan Getzlaf,Maanik
6,Erik Karlsson,Maanik
7,Anze Kopitar,Nam
8,Evgeni Malkin,Brandon
9,EDDIE LACK (became Ryan Miller),Bryan
10,Corey Perry,Brian
11,Patrick Kane,Brian
12,John Tavares,Bryan
13,Alex Ovechkin,Brandon
14,Tyler Seguin,Nam
15,Jonathan Toews,Maanik
16,PK Subban,Maanik
17,Jason Spezza,Nam
18,Martin St. Louis,Brandon
19,Henrik Sedin,Bryan
20,Jamie Benn,Brian
21,Taylor Hall,Brian
22,Daniel Sedin,Bryan
23,Phil Kessel,Brandon
24,Shea Weber,Nam
25,Joe Pavelski,Maanik
26,Kris Letang,Maanik
27,Marian Hossa,Nam
28,Pavel Datsyuk,Brandon
29,Sean Monahan,Bryan
30,Patrick Marleau,Brian
31,Joe Thornton,Brian
32,Jarome Iginla,Bryan
33,Henrik Zetterberg,Brandon
34,Patrick Sharp,Nam
35,Drew Doughty,Maanik
36,Nicklas Backstrom,Maanik
37,Jason Pominville,Nam
38,Chris Kunitz,Brandon
39,Ryan Kesler,Bryan
40,Matt Duchene,Brian
41,Logan Couture,Brian
42,Kyle Turris,Bryan
43,Zach Parise,Brandon
44,Duncan Keith,Nam
45,Keith Yandle,Maanik
46,Nathan MacKinnon,Maanik
47,Ryan Suter,Nam
48,Eric Staal,Brandon
49,Ryan O'Reilly,Bryan
50,Alex Pietrangelo,Brian
51,Max Pacioretty,Brian
52,Zdeno Chara,Bryan
53,Mark Streit,Brandon
54,TJ Oshie,Nam
55,Wayne Simmonds,Maanik
56,Oliver Ekman-Larsson,Maanik
57,Jordan Eberle,Nam
58,Kevin Shattenkirk,Brandon
59,Victor Hedman,Bryan
60,Ryan McDonagh,Brian
61,Brent Seabrook,Brian
62,Gabriel Landeskog,Bryan
63,Mark Giordano,Brandon
64,Blake Wheeler,Nam
65,Marian Gaborik,Maanik
66,Jaromir Jagr,Maanik
67,Mikko Koivu,Nam
68,Mike Green,Brandon
69,David Backes,Bryan
70,James Wisniewski,Brian
71,Christian Ehrhoff,Brian
72,Jeff Carter,Bryan
73,Dustin Byfuglien (became Jay Bouwmeester),Brandon
74,Dan Boyle,Nam
75,Carey Price,Maanik
76,Tuukka Rask,Maanik
77,Niklas Kronwall,Nam
78,Andrei Markov,Brandon
79,Pascal Dupuis,Bryan
80,Tomas Hertl,Brian
81,Matt Niskanen,Brian
82,Dion Phaneuf,Bryan
83,Thomas Vanek,Brandon
84,Brent Burns,Nam
85,Bobby Ryan,Maanik
86,David Krejci,Maanik
87,Antti Niemi,Nam
88,Semyon Varlamov,Brandon
89,Dave Bolland (became Cam Fowler),Bryan
90,Marc-Andre Fleury,Brian
91,Corey Crawford,Brian
92,Jay McClement (became Tyson Barrie),Bryan
93,Jonathan Quick,Brandon
94,Ben Bishop,Nam
95,Patrice Bergeron,Maanik
96,Ryan Johansen,Maanik
97,Rick Nash,Nam
98,Mike Cammelleri,Brandon
99,Torey Krug,Bryan
100,James Neal,Brian
